source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON EMT21 Wa 210825 3um (1),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,1,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,2021-10-11,2021-10-13,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_EMT21_Wa_1
EMO BON EMT21 Wa 210825 3um (2),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,2,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,2021-10-11,2021-10-13,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_EMT21_Wa_2
EMO BON EMT21 Wa 210825 3um (3),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,3,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_3
EMO BON EMT21 Wa 210825 3um (4),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,4,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_4
EMO BON EMT21 Wa 210825 3um (BLANK),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,NA,blank_1,5,0,3-200,3,200,false,NA,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_5
EMO BON EMT21 Wa 210825 0.2um (1),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,1,5,0,0.2-3,0.2,3,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,2021-10-11,2021-10-13,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_EMT21_Wa_6
EMO BON EMT21 Wa 210825 0.2um (2),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,2,5,0,0.2-3,0.2,3,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,2021-10-11,2021-10-13,-70,2021-11-24,2021-11-24,,false,NA,NA,EMOBON_EMT21_Wa_7
EMO BON EMT21 Wa 210825 0.2um (3),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,3,5,0,0.2-3,0.2,3,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_8
EMO BON EMT21 Wa 210825 0.2um (4),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,4,5,0,0.2-3,0.2,3,true,Niskin,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_9
EMO BON EMT21 Wa 210825 0.2um (BLANK),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,NA,blank_1,5,0,0.2-3,0.2,3,false,NA,WaSOP 1,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_10
EMO BON EMT21 Wa 210825 20um (1),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 20um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,1,0.1,0,20,20,NA,false,Plankton net (20um),WaSOP 2,Horizontal tow (50m),2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_11
EMO BON EMT21 Wa 210825 20um (2),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 20um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,2,0.1,0,20,20,NA,false,Plankton net (20um),WaSOP 2,Horizontal tow (50m),2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_12
EMO BON EMT21 Wa 210825 20um (3),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 20um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,3,0.1,0,20,20,NA,false,Plankton net (20um),WaSOP 2,Horizontal tow (50m),2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_13
EMO BON EMT21 Wa 210825 20um (4),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 20um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,1,4,0.1,0,20,20,NA,false,Plankton net (20um),WaSOP 2,Horizontal tow (50m),2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_14
EMO BON EMT21 Wa 210825 20um (BLANK),EMOBON metagenome water sample from station EMT21 collected on 2021-08-25 size fraction 20um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25,EMT21_Wa_210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,,NA,blank_1,0.1,0,20,20,NA,false,NA,WaSOP 2,NA,2021-08-25,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_15
EMO BON EMT21 Wa 211020 3um (1),EMOBON metagenome water sample from station EMT21 collected on 2021-10-20 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-20,EMT21_Wa_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,,1,1,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-10-20,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,2022-01-10,2022-01-11,-70,2022-02-22,2022-02-23,,false,NA,NA,EMOBON_EMT21_Wa_16
EMO BON EMT21 Wa 211020 3um (2),EMOBON metagenome water sample from station EMT21 collected on 2021-10-20 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-20,EMT21_Wa_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,,1,2,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-10-20,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,2022-01-10,2022-01-11,-70,2022-02-22,2022-02-23,,false,NA,NA,EMOBON_EMT21_Wa_17
EMO BON EMT21 Wa 211020 3um (3),EMOBON metagenome water sample from station EMT21 collected on 2021-10-20 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-20,EMT21_Wa_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,,1,3,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-10-20,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_18
EMO BON EMT21 Wa 211020 3um (4),EMOBON metagenome water sample from station EMT21 collected on 2021-10-20 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-20,EMT21_Wa_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,,1,4,5,0,3-200,3,200,true,Niskin,WaSOP 1,NA,2021-10-20,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_19
EMO BON EMT21 Wa 211020 3um (BLANK),EMOBON metagenome water sample from station EMT21 collected on 2021-10-20 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-20,EMT21_Wa_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,,NA,blank_1,5,0,3-200,3,200,false,NA,WaSOP 1,NA,2021-10-20,cryopreservation room,-80,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_Wa_20
