Diagnosis,LogsheetType,LogsheetTab,Column,Row,Value,ExtendedDiagnosis,FilePath,DataType,Requirement
orcid error,sediment,observatory,contact_name,1,"Jose Gonzalez, Jesús Troncoso",orcid 0000-0003-1576-9819 corresponds to person name Jose González,/github/workspace/logsheets/filtered/sediment_observatory.csv,XSDString,mandatory
orcid error,water,observatory,contact_name,1,Jose Gonzalez; Jesús Troncoso,orcid 0000-0003-1576-9819 corresponds to person name Jose González,/github/workspace/logsheets/filtered/water_observatory.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,1,EMOBON_EMT21_So_1,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,2,EMOBON_EMT21_So_2,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,3,EMOBON_EMT21_So_3,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,4,EMOBON_EMT21_So_4,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,5,EMOBON_EMT21_So_5,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,6,EMOBON_EMT21_So_6,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,7,EMOBON_EMT21_So_7,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,8,EMOBON_EMT21_So_8,source_mat_id should match ^EMOBON_EMT21_So_211020_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,9,EMOBON_EMT21_So_9,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,10,EMOBON_EMT21_So_10,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,11,EMOBON_EMT21_So_11,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,12,EMOBON_EMT21_So_12,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,13,EMOBON_EMT21_So_13,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,14,EMOBON_EMT21_So_14,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,15,EMOBON_EMT21_So_15,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,16,EMOBON_EMT21_So_16,source_mat_id should match ^EMOBON_EMT21_So_220420_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,17,EMOBON_EMT21_So_17,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,18,EMOBON_EMT21_So_18,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,19,EMOBON_EMT21_So_19,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,20,EMOBON_EMT21_So_20,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,21,EMOBON_EMT21_So_21,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,22,EMOBON_EMT21_So_22,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,23,EMOBON_EMT21_So_23,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,24,EMOBON_EMT21_So_24,source_mat_id should match ^EMOBON_EMT21_So_221028_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,1,EMOBON_EMT21_Wa_1,source_mat_id should match ^EMOBON_EMT21_Wa_210825_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,2,EMOBON_EMT21_Wa_2,source_mat_id should match ^EMOBON_EMT21_Wa_210825_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,3,EMOBON_EMT21_Wa_3,source_mat_id should match ^EMOBON_EMT21_Wa_210825_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,4,EMOBON_EMT21_Wa_4,source_mat_id should match ^EMOBON_EMT21_Wa_210825_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,5,EMOBON_EMT21_Wa_5,source_mat_id should match ^EMOBON_EMT21_Wa_210825_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,6,EMOBON_EMT21_Wa_6,source_mat_id should match ^EMOBON_EMT21_Wa_210825_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,7,EMOBON_EMT21_Wa_7,source_mat_id should match ^EMOBON_EMT21_Wa_210825_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,8,EMOBON_EMT21_Wa_8,source_mat_id should match ^EMOBON_EMT21_Wa_210825_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,9,EMOBON_EMT21_Wa_9,source_mat_id should match ^EMOBON_EMT21_Wa_210825_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,10,EMOBON_EMT21_Wa_10,source_mat_id should match ^EMOBON_EMT21_Wa_210825_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,11,EMOBON_EMT21_Wa_11,source_mat_id should match ^EMOBON_EMT21_Wa_210825_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,12,EMOBON_EMT21_Wa_12,source_mat_id should match ^EMOBON_EMT21_Wa_210825_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,13,EMOBON_EMT21_Wa_13,source_mat_id should match ^EMOBON_EMT21_Wa_210825_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,14,EMOBON_EMT21_Wa_14,source_mat_id should match ^EMOBON_EMT21_Wa_210825_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,15,EMOBON_EMT21_Wa_15,source_mat_id should match ^EMOBON_EMT21_Wa_210825_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,16,EMOBON_EMT21_Wa_16,source_mat_id should match ^EMOBON_EMT21_Wa_211020_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,17,EMOBON_EMT21_Wa_17,source_mat_id should match ^EMOBON_EMT21_Wa_211020_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,18,EMOBON_EMT21_Wa_18,source_mat_id should match ^EMOBON_EMT21_Wa_211020_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,19,EMOBON_EMT21_Wa_19,source_mat_id should match ^EMOBON_EMT21_Wa_211020_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,20,EMOBON_EMT21_Wa_20,source_mat_id should match ^EMOBON_EMT21_Wa_211020_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,21,EMOBON_EMT21_Wa_21,source_mat_id should match ^EMOBON_EMT21_Wa_211020_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,22,EMOBON_EMT21_Wa_22,source_mat_id should match ^EMOBON_EMT21_Wa_211020_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,23,EMOBON_EMT21_Wa_23,source_mat_id should match ^EMOBON_EMT21_Wa_211020_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,24,EMOBON_EMT21_Wa_24,source_mat_id should match ^EMOBON_EMT21_Wa_211020_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,25,EMOBON_EMT21_Wa_25,source_mat_id should match ^EMOBON_EMT21_Wa_211020_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,26,EMOBON_EMT21_Wa_26,source_mat_id should match ^EMOBON_EMT21_Wa_211020_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,27,EMOBON_EMT21_Wa_27,source_mat_id should match ^EMOBON_EMT21_Wa_211020_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,28,EMOBON_EMT21_Wa_28,source_mat_id should match ^EMOBON_EMT21_Wa_211020_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,29,EMOBON_EMT21_Wa_29,source_mat_id should match ^EMOBON_EMT21_Wa_211020_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,30,EMOBON_EMT21_Wa_30,source_mat_id should match ^EMOBON_EMT21_Wa_211020_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,31,EMOBON_EMT21_Wa_31,source_mat_id should match ^EMOBON_EMT21_Wa_211216_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,32,EMOBON_EMT21_Wa_32,source_mat_id should match ^EMOBON_EMT21_Wa_211216_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,33,EMOBON_EMT21_Wa_33,source_mat_id should match ^EMOBON_EMT21_Wa_211216_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,34,EMOBON_EMT21_Wa_34,source_mat_id should match ^EMOBON_EMT21_Wa_211216_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,35,EMOBON_EMT21_Wa_35,source_mat_id should match ^EMOBON_EMT21_Wa_211216_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,36,EMOBON_EMT21_Wa_36,source_mat_id should match ^EMOBON_EMT21_Wa_211216_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,37,EMOBON_EMT21_Wa_37,source_mat_id should match ^EMOBON_EMT21_Wa_211216_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,38,EMOBON_EMT21_Wa_38,source_mat_id should match ^EMOBON_EMT21_Wa_211216_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
