source_mat_id,sea_surf_temp_method,sea_surf_temp,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON_EMT21_So_211020_macro_1mm_1,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_211020_macro_1mm_2,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_211020_macro_1mm_3,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_211020_macro_1mm_4,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_211020_macro_0.5mm_1,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_211020_macro_0.5mm_2,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_211020_macro_0.5mm_3,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_211020_macro_0.5mm_4,Hach probe,17.2,7.96,Hach probe,17.9,Aqualabo PHEHT probe,199.4,Aqualabo PHEHT probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,Hach probe,,,,,,,,
EMOBON_EMT21_So_220420_macro_1mm_1,Hach probe,13.8,8.08,Hach probe,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,Hach probe,,,,,,,,
EMOBON_EMT21_So_220420_macro_1mm_2,Hach probe,13.8,8.08,Hach probe,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,Hach probe,,,,,,,,
